area_type,availability,location,total_sqft,bath,balcony,price,bhk
Super built-up  Area,18-Jul,Balagere,1020.07,2.0,1.0,68.38,2.0
Super built-up  Area,19-Dec,Gunjur Palya,1033,2.0,2.0,32.0,3.0
Built-up  Area,Ready To Move,B Narayanapura,1460,2.0,3.0,73.0,3.0
Super built-up  Area,Ready To Move,Garudachar Palya,1150,2.0,2.0,52.8,2.0
Super built-up  Area,Ready To Move,Babusapalaya,1141,2.0,1.0,46.0,2.0
Super built-up  Area,18-Jul,Hosa Road,1665,2.0,3.0,125.0,3.0
Super built-up  Area,18-Dec,Kanakapura,1295,2.0,2.0,64.0,2.0
Super built-up  Area,18-Aug,Haralur Road,1230,2.0,1.0,78.0,2.0
Super built-up  Area,Ready To Move,Anand Nagar,1080,2.0,2.0,75.0,3.0
Super built-up  Area,Ready To Move,Kaggalipura,1000,2.0,1.0,60.0,2.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2400,2.0,0.0,50.0,3.0
Super built-up  Area,19-Dec,Whitefield,613 - 648,1.0,0.0,32.79,1.0
Super built-up  Area,18-May,Rayasandra,1708,3.0,2.0,75.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,1697,3.0,2.0,115.0,3.0
Super built-up  Area,Ready To Move,Whitefield,3537,5.0,3.0,210.0,4.0
Super built-up  Area,19-Mar,Hosa Road,615,1.0,1.0,28.29,1.0
Built-up  Area,Ready To Move,Banashankari,1350,2.0,0.0,83.0,3.0
Super built-up  Area,Ready To Move,Kanakpura Road,1430 - 1630,2.0,2.0,66.4,3.0
Super built-up  Area,19-Dec,Jalahalli,1083,2.0,1.0,32.49,2.0
Super built-up  Area,Ready To Move,Gottigere,1460,2.0,2.0,65.0,3.0
Super built-up  Area,Ready To Move,Babusapalaya,1084,2.0,1.0,58.0,2.0
Super built-up  Area,18-May,Bommasandra,1035,2.0,1.0,41.43,2.0
Super built-up  Area,Ready To Move,Vijaya Bank Layout,2400,2.0,1.0,150.0,3.0
Super built-up  Area,Ready To Move,Hosur Road,460,1.0,1.0,21.0,1.0
Super built-up  Area,Ready To Move,Narayanappa Layout,950,5.0,2.0,90.0,5.0
Super built-up  Area,Ready To Move,Whitefield,1285,2.0,2.0,55.9,2.0
Plot  Area,Ready To Move,Sarjapur,1200,3.0,2.0,78.0,3.0
Built-up  Area,Ready To Move,Raghuvanahalli,1070,2.0,1.0,35.0,2.0
Super built-up  Area,Ready To Move,Hegde Nagar,1801,3.0,2.0,140.0,3.0
Super built-up  Area,18-Dec,Whitefield,1697,3.0,2.0,115.0,3.0
Super built-up  Area,Ready To Move,AECS Layout,1199,2.0,2.0,65.0,2.0
Super built-up  Area,Ready To Move,Mysore Road,1340,2.0,3.0,64.31,3.0
Super built-up  Area,Ready To Move,Marathahalli,3800,4.0,3.0,205.0,4.0
Plot  Area,Ready To Move,Jigani,600,5.0,2.0,50.0,5.0
Super built-up  Area,Ready To Move,Wilson Garden,1125,2.0,1.0,75.0,2.0
Plot  Area,Ready To Move,Anandapura,1200,2.0,1.0,67.0,2.0
Built-up  Area,Ready To Move,Subramanyapura,1050,2.0,3.0,41.0,2.0
Built-up  Area,Ready To Move,Nagarbhavi,956,2.0,1.0,49.0,2.0
Super built-up  Area,Ready To Move,Sarjapur,1000,2.0,2.0,30.0,2.0
Built-up  Area,Ready To Move,Dooravani Nagar,1596,3.0,0.0,95.0,3.0
Plot  Area,Ready To Move,Kumbhena Agrahara,1200,5.0,1.0,150.0,6.0
Super built-up  Area,19-Jul,Kanakpura Road,1296,2.0,3.0,89.06,2.0
Built-up  Area,Ready To Move,Challaghatta,1639,3.0,3.0,123.0,3.0
Super built-up  Area,Ready To Move,Electronic City Phase II,1219,2.0,1.0,61.25,2.0
Built-up  Area,Ready To Move,Uttarahalli,1200,3.0,1.0,50.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1218,2.0,1.0,73.0,2.0
Super built-up  Area,Ready To Move,Nyanappana Halli,920,2.0,3.0,37.0,2.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2559,3.0,2.0,141.0,3.0
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,525,1.0,1.0,26.0,1.0
Super built-up  Area,18-Feb,Bannerghatta Road,1427,2.0,2.0,48.51,3.0
Super built-up  Area,18-Apr,Kothannur,1270,3.0,2.0,45.0,3.0
Built-up  Area,Ready To Move,Ramagondanahalli,920,2.0,3.0,65.0,2.0
Built-up  Area,Ready To Move,Dommasandra,2700,3.0,2.0,68.0,4.0
Super built-up  Area,Ready To Move,Indira Nagar 3rd Stage,1740,3.0,2.0,199.0,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,1355,2.0,2.0,40.0,3.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,1530,2.0,2.0,90.0,3.0
Carpet  Area,Ready To Move,Gokula Extension,1372,2.0,1.0,90.0,3.0
Super built-up  Area,Ready To Move,Nehru Nagar,2363,5.0,2.0,120.0,4.0
Super built-up  Area,20-Jun,Jakkur,1950,3.0,2.0,131.0,3.0
Built-up  Area,Ready To Move,Hoysalanagar,885,2.0,3.0,40.0,2.0
Built-up  Area,Ready To Move,Yelahanka,600,2.0,2.0,27.0,2.0
Plot  Area,Ready To Move,Kumaraswami Layout,1270,4.0,1.0,128.0,5.0
Super built-up  Area,Ready To Move,Kanakpura Road,1339,2.0,2.0,62.0,2.0
Super built-up  Area,Ready To Move,Whitefield,1130,2.0,1.0,36.0,2.0
Built-up  Area,Ready To Move,Uttarahalli,1085,2.0,2.0,43.0,2.0
Built-up  Area,Ready To Move,Yeshwanthpur,1430,3.0,2.0,72.0,3.0
Carpet  Area,18-Dec,Bhoganhalli,1451.5,4.0,1.0,121.0,4.0
Super built-up  Area,Ready To Move,AGS Layout,1490,2.0,1.0,59.6,3.0
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,1650,4.0,0.0,99.0,4.0
Super built-up  Area,Ready To Move,Bellandur,1286,2.0,2.0,57.0,2.0
Built-up  Area,Ready To Move,KR Garden,925,2.0,2.0,63.0,2.0
Built-up  Area,Ready To Move,Haralur Road,1000,2.0,2.0,44.0,2.0
Super built-up  Area,Ready To Move,Whitefield,1215,2.0,2.0,39.0,2.0
Plot  Area,Ready To Move,Kanakadasa Layout,1200,3.0,1.0,95.0,4.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1336,2.0,2.0,100.0,2.0
Super built-up  Area,Ready To Move,Yeshwanthpur,673,1.0,1.0,36.85,1.0
Plot  Area,Ready To Move,Anandapura,1200,2.0,1.0,58.0,2.0
Super built-up  Area,Ready To Move,Malleshwaram,1600,3.0,3.0,160.0,3.0
Plot  Area,Ready To Move,Mallathahalli,1200,2.0,0.0,79.0,2.0
Plot  Area,Ready To Move,Devanahalli,2400,5.0,3.0,100.0,5.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1143,2.0,2.0,65.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,1470,2.0,2.0,61.74,2.0
Plot  Area,Ready To Move,Laxminarayana Layout,1584,3.0,2.0,145.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,1785,3.0,2.0,94.0,3.0
Super built-up  Area,Ready To Move,Kothanur,1460,3.0,3.0,71.0,3.0
Super built-up  Area,Ready To Move,Kasturi Nagar,1500,2.0,3.0,80.0,3.0
Plot  Area,Ready To Move,Yelahanka,1200,4.0,1.0,140.0,5.0
Super built-up  Area,Ready To Move,Chikkalasandra,1230,2.0,2.0,48.0,2.0
Super built-up  Area,Ready To Move,Yelahanka New Town,650,1.0,1.0,20.0,1.0
Super built-up  Area,Ready To Move,Benson Town,1480,2.0,2.0,120.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,1220,2.0,1.0,43.92,2.0
Super built-up  Area,Ready To Move,Dooravani Nagar,1570,3.0,1.0,115.0,3.0
Super built-up  Area,Ready To Move,Mallasandra,1665,3.0,2.0,86.91,3.0
Plot  Area,Ready To Move,Ramamurthy Nagar,1100,2.0,0.0,68.0,2.0
Super built-up  Area,Ready To Move,Kathriguppe,1350,2.0,1.0,87.01,3.0
Built-up  Area,Ready To Move,Kasavanhalli,1719,3.0,2.0,116.0,3.0
Super built-up  Area,Ready To Move,Budigere,664,1.0,1.0,35.0,1.0
Super built-up  Area,18-Dec,Sonnenahalli,1011,2.0,1.0,50.53,2.0
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,1680,3.0,2.0,85.0,3.0
Super built-up  Area,Ready To Move,Yeshwanthpur,704 - 730,2.0,0.0,49.475,2.0
Plot  Area,Ready To Move,Thyagaraja Nagar,700,4.0,2.0,110.0,4.0
Super built-up  Area,Ready To Move,Whitefield,1520,2.0,2.0,150.0,3.0
Carpet  Area,Ready To Move,Uttarahalli,1350,2.0,2.0,53.0,3.0
Super built-up  Area,15-Nov,Kothanur,1760,3.0,2.0,150.0,3.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,875,2.0,1.0,33.0,2.0
Super built-up  Area,Ready To Move,Hennur,1231,2.0,2.0,48.0,2.0
Super built-up  Area,Ready To Move,Somasundara Palya,1174,2.0,3.0,74.0,2.0
Built-up  Area,Ready To Move,Munnekollal,1560,3.0,3.0,75.0,3.0
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,1464,2.0,2.0,56.0,2.0
Plot  Area,Ready To Move,Kanakpura Road,2200,3.0,2.0,130.0,3.0
Built-up  Area,Ready To Move,Shivaji Nagar,850,2.0,2.0,55.0,2.0
Built-up  Area,Ready To Move,Sahyadri Layout,1750,3.0,1.0,180.0,3.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2024,3.0,2.0,157.0,3.0
Plot  Area,Ready To Move,Mathikere SBM colony,1500,1.0,0.0,160.0,2.0
Super built-up  Area,Ready To Move,Devanahalli,1080,2.0,1.0,44.0,2.0
Built-up  Area,18-Dec,Electronic City,1020,2.0,1.0,29.46,2.0
Super built-up  Area,Ready To Move,Begur Road,1500,2.0,3.0,55.0,3.0
Plot  Area,Ready To Move,Mahalakshmi Layout,1575,5.0,1.0,158.0,4.0
Plot  Area,Ready To Move,Kodichikkanahalli,3250,4.0,1.0,180.0,4.0
Super built-up  Area,Ready To Move,Uttarahalli,1175,2.0,1.0,47.0,2.0
Super built-up  Area,Ready To Move,Channasandra,1030,2.0,1.0,34.5,2.0
Super built-up  Area,18-Jul,Hebbal,1440,2.0,1.0,115.0,2.0
Built-up  Area,Ready To Move,Hoodi,1500,2.0,1.0,84.0,2.0
Plot  Area,Ready To Move,Thanisandra,1380,1.0,1.0,62.1,1.0
Built-up  Area,Ready To Move,Bagalur,1200,2.0,3.0,50.0,2.0
Built-up  Area,Ready To Move,Vinayak Nagar,705,1.0,2.0,36.5,1.0
Super built-up  Area,Ready To Move,Harlur,2240,5.0,2.0,155.0,3.0
Super built-up  Area,Ready To Move,Hegde Nagar,1584.01,3.0,1.0,103.0,3.0
Super built-up  Area,Ready To Move,P Krishnappa Layout,1340,3.0,3.0,77.0,3.0
Super built-up  Area,Ready To Move,Green Garden Layout,1800,3.0,2.0,70.0,3.0
Super built-up  Area,Ready To Move,R.T. Nagar,1200,2.0,3.0,45.0,2.0
Super built-up  Area,18-Nov,Sarjapur  Road,685,1.0,1.0,40.0,1.0
Super built-up  Area,Ready To Move,Kalkere,925,2.0,3.0,42.0,2.0
Super built-up  Area,Ready To Move,Crimson Layout,1230,2.0,2.0,57.0,2.0
Plot  Area,Ready To Move,Manjunath Nagar,1200,5.0,1.0,185.0,5.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,1125,2.0,1.0,52.0,2.0
Super built-up  Area,Ready To Move,Hebbal,1100,2.0,1.0,54.0,2.0
Plot  Area,18-Aug,Jigani,2400,3.0,2.0,149.0,3.0
Super built-up  Area,18-Jul,Electronic City Phase II,1400,2.0,2.0,41.58,3.0
Super built-up  Area,Ready To Move,Jakkur,1858,3.0,1.0,98.3,3.0
Plot  Area,Ready To Move,Adityanagar,1260,1.0,1.0,41.0,1.0
Super built-up  Area,Ready To Move,HSR Layout,1185,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,Hennur,1255,2.0,1.0,58.0,2.0
Built-up  Area,Ready To Move,Kudlu Gate,1335,3.0,2.0,89.0,3.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,1999,3.0,2.0,132.0,3.0
Plot  Area,Ready To Move,Kanaka Nagar,1200,2.0,1.0,125.0,2.0
Super built-up  Area,Ready To Move,Kundalahalli,1397,3.0,2.0,110.0,3.0
Plot  Area,Ready To Move,Yelahanka New Town,1200,2.0,1.0,130.0,2.0
Plot  Area,Ready To Move,Chikka Tirupathi,1616,3.0,0.0,95.0,3.0
Built-up  Area,Ready To Move,Hanumantha Nagar,1270,2.0,1.0,175.0,4.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1140,2.0,2.0,38.55,2.0
Super built-up  Area,21-Jan,Kanakpura Road,525,1.0,1.0,30.0,1.0
Plot  Area,Ready To Move,Varthur,1200,2.0,1.0,98.0,3.0
Built-up  Area,Ready To Move,Bagalakunte,700,1.0,1.0,162.0,1.0
Super built-up  Area,18-Jul,Balagere,1205.47,2.0,1.0,81.0,2.0
Plot  Area,Ready To Move,T Dasarahalli,1200,3.0,2.0,130.0,3.0
Super built-up  Area,Ready To Move,Electronic City,1700,3.0,2.0,75.0,3.0
Plot  Area,Ready To Move,Thanisandra,750,4.0,0.0,62.0,5.0
Super built-up  Area,21-May,Kanakpura Road,1090,2.0,1.0,54.54,2.0
Super built-up  Area,19-Mar,Thanisandra,923,1.0,1.0,60.84,1.0
Super built-up  Area,Ready To Move,Green Glen Layout,1050,2.0,2.0,48.0,2.0
Super built-up  Area,Ready To Move,Whitefield,1495,2.0,2.0,79.5,2.0
Super built-up  Area,19-Mar,Hennur Road,1482 - 1846,2.0,2.0,93.865,3.0
Built-up  Area,Ready To Move,Narayanapura,1485,3.0,2.0,85.0,3.0
Super built-up  Area,19-Dec,Dommasandra,1033,2.0,2.0,31.5,3.0
Super built-up  Area,Ready To Move,Electronic City,1400,2.0,1.0,48.0,3.0
Built-up  Area,Ready To Move,Indira Nagar,500,1.0,0.0,70.0,1.0
Super built-up  Area,Ready To Move,Sarjapur  Road,944,2.0,1.0,35.0,2.0
Super built-up  Area,19-Mar,Whitefield,1216,2.0,1.0,66.48,2.0
Super built-up  Area,Ready To Move,Thirumenahalli,1100,2.0,1.0,39.5,2.0
Super built-up  Area,Ready To Move,Thanisandra,1743,3.0,2.0,93.25,3.0
Super built-up  Area,Ready To Move,Yelahanka,1274,2.0,2.0,48.42,2.0
Super built-up  Area,Ready To Move,Mysore Road,1512,2.0,2.0,110.0,3.0
Super built-up  Area,Ready To Move,Cox Town,1650,3.0,3.0,100.0,3.0
Built-up  Area,Ready To Move,Doddathoguru,1875,3.0,1.0,55.0,3.0
Built-up  Area,Ready To Move,Whitefield,1350,3.0,2.0,54.0,3.0
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,1219,2.0,2.0,40.0,2.0
Plot  Area,Ready To Move,Goraguntepalya,1200,4.0,1.0,150.0,4.0
Plot  Area,Ready To Move,Sarjapura - Attibele Road,2400,3.0,3.0,85.0,3.0
Super built-up  Area,Ready To Move,Hormavu,1141,2.0,1.0,44.4,2.0
Super built-up  Area,Ready To Move,Anandapura,1151,2.0,1.0,43.1,2.0
Plot  Area,Ready To Move,Bommenahalli,832,3.0,1.0,77.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,915,2.0,1.0,38.0,2.0
Super built-up  Area,22-Dec,Bannerghatta Road,1115,2.0,1.0,65.12,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,2072,4.0,2.0,139.0,3.0
Super built-up  Area,Ready To Move,Kaggadasapura,1200,2.0,2.0,53.0,2.0
Super built-up  Area,Ready To Move,Singasandra,1300,2.0,2.0,65.0,2.0
Super built-up  Area,Ready To Move,Bellandur,1457,2.0,2.0,85.0,2.0
Super built-up  Area,Ready To Move,Kannamangala,1262,2.0,2.0,55.0,2.0
Plot  Area,Ready To Move,BEML Layout,1196,3.0,1.0,150.0,4.0
Super built-up  Area,18-Aug,Ananth Nagar,900,2.0,2.0,22.5,2.0
Built-up  Area,Ready To Move,Attibele,420,1.0,1.0,17.0,1.0
Super built-up  Area,Ready To Move,Kanakapura,1160,2.0,1.0,46.39,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,1115,2.0,2.0,50.0,2.0
Built-up  Area,Ready To Move,JP Nagar,1315,2.0,1.0,85.4,3.0
Built-up  Area,Ready To Move,Babusapalaya,1500,2.0,2.0,57.0,2.0
Super built-up  Area,Ready To Move,HSR Layout,1127,2.0,1.0,68.0,2.0
Super built-up  Area,18-Feb,Kundalahalli,1397,3.0,2.0,104.0,3.0
Built-up  Area,20-Dec,Whitefield,1173,2.0,1.0,60.0,2.0
Super built-up  Area,Ready To Move,Sompura,1090,2.0,2.0,28.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2720,5.0,2.0,210.0,3.0
Super built-up  Area,18-May,Jakkur,1230,2.0,1.0,76.0,2.0
Super built-up  Area,Ready To Move,6th Block Rajaji Nagar,3200,3.0,3.0,190.0,4.0
Super built-up  Area,19-Dec,Sarjapur  Road,858,2.0,1.0,31.57,2.0
Super built-up  Area,21-Mar,Talaghattapura,1868,3.0,1.0,121.0,3.0
Super built-up  Area,Ready To Move,Uttarahalli,1689.28,3.0,2.0,91.2,3.0
Built-up  Area,Ready To Move,Vishwapriya Layout,600,3.0,2.0,73.0,4.0
Super built-up  Area,Ready To Move,Banashankari,1425,3.0,3.0,49.88,3.0
Plot  Area,Ready To Move,Tindlu,1350,2.0,1.0,100.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,1310,2.0,1.0,85.0,3.0
Super built-up  Area,18-Jun,Haralur Road,2805 - 3565,2.0,2.0,175.0,4.0
Super built-up  Area,Ready To Move,MLA Layout,970,2.0,1.0,40.0,2.0
Super built-up  Area,18-May,Kundalahalli,1397,3.0,3.0,108.0,3.0
Super built-up  Area,18-Jul,Sarjapur,1157,2.0,1.0,40.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,1125,2.0,1.0,61.2,2.0
Super built-up  Area,Ready To Move,Sonnenahalli,1157,2.0,1.0,42.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1241,2.0,1.0,82.0,2.0
Super built-up  Area,19-Dec,Binny Pete,660,1.0,1.0,62.0,1.0
Super built-up  Area,Ready To Move,Rajiv Nagar,2340,4.0,1.0,148.0,4.0
Built-up  Area,Ready To Move,Venkatadri Layout,596,1.0,1.0,42.0,1.0
Plot  Area,Ready To Move,Kyalasanahalli,1200,4.0,3.0,110.0,4.0
Super built-up  Area,Ready To Move,Ambedkar Colony,1910,3.0,1.0,190.0,3.0
Super built-up  Area,Ready To Move,Brookefield,1139,2.0,2.0,80.0,2.0
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,1033,2.0,2.0,28.41,2.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1168,2.0,2.0,64.08,2.0
Super built-up  Area,Ready To Move,Chandapura,877,2.0,3.0,42.0,2.0
Built-up  Area,18-Jul,Electronics City Phase 1,1340,2.0,2.0,75.0,2.0
Built-up  Area,Ready To Move,B Narayanapura,1405,2.0,2.0,70.0,3.0
Super built-up  Area,Ready To Move,Siddapura,1800,3.0,3.0,65.0,3.0
Built-up  Area,Ready To Move, Devarabeesana Halli,1750,3.0,3.0,149.0,3.0
Super built-up  Area,Ready To Move,Motappa Layout,1360,2.0,1.0,65.0,3.0
Plot  Area,Ready To Move,Malleshwaram,675,2.0,0.0,148.0,3.0
Super built-up  Area,19-Jun,Byrasandra,985,2.0,1.0,63.0,2.0
Super built-up  Area,16-Jul,Victoria Layout,1300,2.0,1.0,129.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1850,3.0,2.0,150.0,3.0
Super built-up  Area,Ready To Move,Rustam Bagh Layout,1490,2.0,3.0,88.0,3.0
Super built-up  Area,Ready To Move,Byagadadhenahalli,620,1.0,1.0,25.0,2.0
Super built-up  Area,19-Aug,Hormavu,1130,2.0,1.0,42.3,2.0
Super built-up  Area,Ready To Move,Yelachenahalli,1080,2.0,2.0,55.0,2.0
Built-up  Area,Ready To Move,Singasandra,3126,4.0,2.0,120.0,4.0
Super built-up  Area,Ready To Move,Begur Road,1410,2.0,3.0,52.17,3.0
Super built-up  Area,Ready To Move,Bommanahalli,1375,3.0,2.0,59.0,3.0
Super built-up  Area,Ready To Move,Hennur Road,1290,2.0,1.0,94.5,3.0
Super built-up  Area,19-Mar,Hosa Road,1318,2.0,1.0,85.28,3.0
Super built-up  Area,Ready To Move,Electronic City,1128,2.0,1.0,68.0,2.0
Super built-up  Area,21-Mar,Kanakpura Road,1051,2.0,2.0,56.74,2.0
Plot  Area,Ready To Move,Kannamangala,2400,4.0,1.0,130.0,4.0
Super built-up  Area,Ready To Move,Yelahanka,1327,2.0,3.0,85.0,2.0
Super built-up  Area,Ready To Move,Basapura,1301,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Thippasandra,650,1.0,0.0,30.0,1.0
Plot  Area,18-Jul,Varthur,1200,3.0,1.0,67.75,3.0
Super built-up  Area,Ready To Move,Banagiri Nagar,1500,2.0,2.0,89.99,3.0
Plot  Area,Ready To Move,Nagadevanahalli,1350,4.0,2.0,145.0,4.0
Built-up  Area,18-Aug,Electronic City Phase II,1000,2.0,1.0,28.88,2.0
Super built-up  Area,19-Nov,Sarjapur  Road,984,2.0,1.0,45.91,2.0
Super built-up  Area,22-May,Jakkur,1819.18,3.0,1.0,160.0,3.0
Built-up  Area,Ready To Move,Nagarbhavi,900,1.0,0.0,175.0,1.0
Super built-up  Area,18-Apr,Hebbal,1355,3.0,1.0,83.87,3.0
Super built-up  Area,18-Aug,Kaggadasapura,1118,2.0,0.0,30.0,2.0
Super built-up  Area,Ready To Move,Roopena Agrahara,910,1.0,1.0,42.0,1.0
Super built-up  Area,18-May,Madiwala,1250,3.0,2.0,39.0,3.0
Super built-up  Area,18-Mar,Hosakerehalli,1304,2.0,3.0,100.0,2.0
Super built-up  Area,Ready To Move,Begur Road,1615,3.0,2.0,58.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1400,2.0,2.0,68.0,2.0
Super built-up  Area,Ready To Move,CV Raman Nagar,1070,2.0,2.0,47.5,2.0
Super built-up  Area,22-Jun,Hoodi,1132,2.0,1.0,89.37,2.0
Super built-up  Area,Ready To Move,Rajarajeshwari Nagara,2000,3.0,2.0,85.0,3.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,794,1.0,2.0,65.0,1.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1090,2.0,2.0,43.59,2.0
Super built-up  Area,Ready To Move,Gottigere,1500,3.0,2.0,70.0,3.0
Super built-up  Area,21-Jan,Kanakpura Road,525,1.0,1.0,30.0,1.0
Super built-up  Area,18-May,Bhoganhalli,1447,2.0,1.0,75.97,2.0
Super built-up  Area,20-Dec,Whitefield,1269,2.0,1.0,75.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,1070,2.0,2.0,37.45,2.0
Super built-up  Area,Ready To Move,Talaghattapura,1150,2.0,0.0,28.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,1208,2.0,2.0,70.0,2.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1185,2.0,1.0,45.5,2.0
Plot  Area,Ready To Move,Laggere,1200,3.0,1.0,130.0,3.0
Super built-up  Area,Ready To Move,Anekal,888,2.0,1.0,34.0,2.0
Super built-up  Area,18-Aug,Chandapura,1015,2.0,2.0,25.88,2.0
Built-up  Area,Ready To Move,Celebrity Paradise Layout,532,1.0,1.0,22.49,1.0
Super built-up  Area,Ready To Move,St Thomas Town,1060,3.0,1.0,62.0,3.0
Built-up  Area,Ready To Move,Electronic City,700,1.0,1.0,35.0,1.0
Super built-up  Area,Ready To Move,Ckikkakammana Halli,902,2.0,2.0,42.0,2.0
Plot  Area,Ready To Move,Banashankari 2nd Stage,600,3.0,3.0,95.0,6.0
Super built-up  Area,Ready To Move,Uttarahalli,1175,2.0,1.0,47.0,2.0
Super built-up  Area,19-Dec,Binny Pete,1365,2.0,1.0,122.0,2.0
Super built-up  Area,Ready To Move,Doddathoguru,984,2.0,1.0,51.0,2.0
Plot  Area,Ready To Move,Hebbal,2700,2.0,2.0,100.0,4.0
Super built-up  Area,Ready To Move,Jalahalli East,1475,3.0,2.0,96.0,3.0
Super built-up  Area,Ready To Move,Haralur Road,1300,2.0,2.0,79.0,2.0
Built-up  Area,Ready To Move,Babusapalaya,1453,2.0,2.0,43.59,3.0
Super built-up  Area,Ready To Move,Munivenkatppa Layout,1550,2.0,3.0,160.0,2.0
Built-up  Area,Ready To Move,Akshaya Nagar,1666,3.0,2.0,95.0,3.0
Plot  Area,Ready To Move,Akshaya Nagar,1410,4.0,2.0,160.0,4.0
Super built-up  Area,Ready To Move,Murugeshpalya,1845,3.0,3.0,91.0,3.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1676,3.0,3.0,52.0,3.0
Super built-up  Area,20-Dec,Uttarahalli,1137,2.0,1.0,63.0,2.0
Super built-up  Area,Ready To Move,Electronic City,1360,2.0,1.0,70.5,3.0
Super built-up  Area,Ready To Move,Vijaya Bank Layout,1374,2.0,2.0,70.0,3.0
Built-up  Area,Ready To Move,Judicial Layout,1700,3.0,2.0,155.0,3.0
Super built-up  Area,Ready To Move,Ferrar Nagar,2145,4.0,2.0,125.0,4.0
Super built-up  Area,18-May,Kasavanhalli,2170,3.0,2.0,151.0,3.0
Built-up  Area,Ready To Move,Bank Of Baroda Colony,1080,2.0,1.0,55.0,2.0
Built-up  Area,Ready To Move,Electronic City Phase II,1790,3.0,3.0,100.0,3.0
Super built-up  Area,Ready To Move,Doddathoguru,550,1.0,1.0,17.0,1.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,1270,2.0,2.0,50.79,3.0
Built-up  Area,Ready To Move,Somasundara Palya,1033,2.0,2.0,48.0,2.0
Built-up  Area,Ready To Move,Kamala Nagar,1000,2.0,1.0,80.0,2.0
Super built-up  Area,Ready To Move,Kumarapalli,1240,2.0,2.0,52.6,2.0
Super built-up  Area,Ready To Move,Kambipura,883,2.0,1.0,39.0,2.0
Built-up  Area,15-Jun,Outer Ring Road East,1500,2.0,0.0,97.0,3.0
Super built-up  Area,Ready To Move,Marathahalli,1730,3.0,3.0,139.0,3.0
Super built-up  Area,Ready To Move,Kasavanhalli,1915,3.0,3.0,80.0,3.0
Super built-up  Area,Ready To Move,Whitefield,1545,3.0,2.0,79.0,3.0
Super built-up  Area,19-Mar,Marenahalli,1865,4.0,2.0,140.0,3.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,1150,2.0,2.0,40.0,2.0
Super built-up  Area,18-Aug,HAL 3rd Stage,1200,2.0,2.0,49.0,2.0
Built-up  Area,Ready To Move,Kengeri,963,2.0,2.0,40.0,2.0
Plot  Area,Ready To Move,Marsur,1200,3.0,1.0,120.0,3.0
Built-up  Area,Ready To Move,Kaikondrahalli,1700,4.0,2.0,108.0,4.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,1682,3.0,1.0,120.0,3.0
Built-up  Area,Ready To Move,Yelahanka,1371,2.0,2.0,65.0,3.0
Super built-up  Area,21-Mar,Hennur Road,901,2.0,1.0,49.5,2.0
Super built-up  Area,Ready To Move,Ambalipura,1730,3.0,1.0,120.0,3.0
Plot  Area,Ready To Move,Konanakunte,1200,4.0,0.0,125.0,4.0
Super built-up  Area,Ready To Move,EPIP Zone,1500,3.0,3.0,102.0,3.0
